_OIB_ _k_ Model Estimate tValue CLASSVAR_GRP spreadgrp
oibtrd 10 FFAlpha -0.002847 -0.79 medium HIGH
oibtrd 12 FFAlpha -0.004832 -1.09 medium HIGH
oibtrd 1 FFAlpha -0.000074 -0.10 big HIGH
oibtrd 2 FFAlpha -0.000385 -0.33 big HIGH
oibtrd 4 FFAlpha -0.000411 -0.22 big HIGH
oibtrd 6 FFAlpha -0.000252 -0.10 big HIGH
oibtrd 8 FFAlpha -0.001034 -0.31 big HIGH
oibtrd 10 FFAlpha -0.002743 -0.60 big HIGH
oibtrd 12 FFAlpha -0.004274 -0.74 big HIGH
oibtrd 1 FFAlpha -0.000055 -0.07 NA HIGH
oibtrd 1 RawReturn 0.000516 0.55 NA HIGH
oibtrd 2 FFAlpha -0.000155 -0.12 NA HIGH
oibtrd 2 RawReturn 0.000934 0.57 NA HIGH
oibtrd 4 FFAlpha 0.0000924 0.04 NA HIGH
oibtrd 4 RawReturn 0.002433 0.80 NA HIGH
oibtrd 6 FFAlpha 0.000246 0.08 NA HIGH
oibtrd 6 RawReturn 0.004732 1.03 NA HIGH
oibtrd 8 FFAlpha 0.000166 0.04 NA HIGH
oibtrd 8 RawReturn 0.005842 0.95 NA HIGH
oibtrd 10 FFAlpha -0.001193 -0.23 NA HIGH
oibtrd 10 RawReturn 0.005544 0.73 NA HIGH
oibtrd 12 FFAlpha -0.001890 -0.27 NA HIGH
oibtrd 12 RawReturn 0.007150 0.74 NA HIGH
